Item Title;Publication Title;Book Series Title;Journal Volume;Journal Issue;Item DOI;Authors;Publication Year;URL;Content Type
"2 Background on Visual Attention";"VOCUS: A Visual Attention System for Object Detection and Goal-Directed Search";"";"";"";"10.1007/11682110_2";"Simone Frintrop";"2006";"http://link.springer.com/chapter/10.1007/11682110_2";"Chapter"
"3D Eye Tracking for Visual Imagery Measurements";"HCI International 2019 - Posters";"";"";"";"10.1007/978-3-030-23528-4_32";"Kenta KatoOky Dicky Ardiansyah PrimaHisayoshi Ito";"2019";"http://link.springer.com/chapter/10.1007/978-3-030-23528-4_32";"Chapter"
"3D Visual Content Datasets";"3D Visual Content Creation, Coding and Delivery";"";"";"";"10.1007/978-3-319-77842-6_11";"Karel FliegelFederica BattistiMarco CarliMargrit GelautzLukáš KrasulaPatrick Le CalletVladimir Zlokolica";"2019";"http://link.springer.com/chapter/10.1007/978-3-319-77842-6_11";"Chapter"
"3D visual saliency detection model with generated disparity map";"Multimedia Tools and Applications";"";"76";"2";"10.1007/s11042-015-3229-6";"Feng QiDebin ZhaoShaohui LiuXiaopeng Fan";"2017";"http://link.springer.com/article/10.1007/s11042-015-3229-6";"Article"
"3D-HUDD – Developing a Prototyping Tool for 3D Head-Up Displays";"Human-Computer Interaction – INTERACT 2015";"";"";"";"10.1007/978-3-319-22723-8_24";"Nora BroyMatthias NefzgerFlorian AltMariam HassibAlbrecht Schmidt";"2015";"http://link.springer.com/chapter/10.1007/978-3-319-22723-8_24";"Chapter"
"A Bag of Strings Representation for Image Categorization";"Journal of Mathematical Imaging and Vision";"";"35";"1";"10.1007/s10851-009-0154-1";"Julien RosChristophe LaurentJean-Michel Jolion";"2009";"http://link.springer.com/article/10.1007/s10851-009-0154-1";"Article"
"A Basic Study of Gaze Behavior Measurement Methodology for Drivers in Autonomous Vehicles";"New Frontiers in Artificial Intelligence";"";"";"";"10.1007/978-3-319-61572-1_21";"Rie OsawaShota ImafukuSusumu Shirayama";"2017";"http://link.springer.com/chapter/10.1007/978-3-319-61572-1_21";"Chapter"
"A Behavioral Analysis of Computational Models of Visual Attention";"International Journal of Computer Vision";"";"73";"2";"10.1007/s11263-006-9784-6";"Frederick ShicBrian Scassellati";"2007";"http://link.springer.com/article/10.1007/s11263-006-9784-6";"Article"
"A Comparative Longitudinal Study of Non-verbal Mouse Pointer";"Human-Computer Interaction – INTERACT 2007";"";"";"";"10.1007/978-3-540-74800-7_44";"Murni MahmudAdam J. SporkaSri H. KurniawanPavel Slavík";"2007";"http://link.springer.com/chapter/10.1007/978-3-540-74800-7_44";"Chapter"
"A Comparison of Eye Movements When Searching Web Pages between Americans and Koreans";"Cross-Cultural Design. Cultural Differences in Everyday Life";"";"";"";"10.1007/978-3-642-39137-8_53";"Changwoo Yang";"2013";"http://link.springer.com/chapter/10.1007/978-3-642-39137-8_53";"Chapter"
"A Computational Approach for Prediction of Problem-Solving Behavior Using Support Vector Machines and Eye-Tracking Data";"Eye Gaze in Intelligent User Interfaces";"";"";"";"10.1007/978-1-4471-4784-8_7";"Roman BednarikShahram EivaziHana Vrzakova";"2013";"http://link.springer.com/chapter/10.1007/978-1-4471-4784-8_7";"Chapter"
"A Data-Driven Paradigm to Understand Multimodal Communication in Human-Human and Human-Robot Interaction";"Advances in Intelligent Data Analysis IX";"";"";"";"10.1007/978-3-642-13062-5_22";"Chen YuThomas G. SmithShohei HidakaMatthias ScheutzLinda B. Smith";"2010";"http://link.springer.com/chapter/10.1007/978-3-642-13062-5_22";"Chapter"
"A Digital Neural Model of Visual Deficits in Parkinson’s Disease";"Computational Methods in Neural Modeling";"";"";"";"10.1007/3-540-44868-3_12";"Igor AleksanderHelen Morton";"2003";"http://link.springer.com/chapter/10.1007/3-540-44868-3_12";"Chapter"
"A Formal Description of Multimodal Interaction Techniques for Immersive Virtual Reality Applications";"Human-Computer Interaction - INTERACT 2005";"";"";"";"10.1007/11555261_17";"David NavarrePhilippe PalanqueRémi BastideAmélie SchynMarco WincklerLuciana P. NedelCarla M. D. S. Freitas";"2005";"http://link.springer.com/chapter/10.1007/11555261_17";"Chapter"
"A Framework for Building Mapping Operators Resolving Structural Heterogeneities";"Information Systems and e-Business Technologies";"";"";"";"10.1007/978-3-540-78942-0_18";"Gerti KappelHorst KarglThomas ReiterWerner RetschitzeggerWieland SchwingerMichael StrommerManuel Wimmer";"2008";"http://link.springer.com/chapter/10.1007/978-3-540-78942-0_18";"Chapter"
"A Framework for Supporting Joint Interpersonal Attention in Distributed Groups";"Human-Computer Interaction – INTERACT 2011";"";"";"";"10.1007/978-3-642-23774-4_25";"Jeremy BirnholtzJohnathon SchultzMatthew LepageCarl Gutwin";"2011";"http://link.springer.com/chapter/10.1007/978-3-642-23774-4_25";"Chapter"
"A Fully Automatic Approach for the Accurate Localization of the Pupils";"Image Analysis and Processing – ICIAP 2013";"";"";"";"10.1007/978-3-642-41181-6_51";"Marco LeoDario CazzatoTommaso De MarcoCosimo Distante";"2013";"http://link.springer.com/chapter/10.1007/978-3-642-41181-6_51";"Chapter"
"A Generic Architecture for Human-Aware Ambient Computing";"Agent-Based Ubiquitous Computing";"";"";"";"10.2991/978-94-91216-31-2_3";"Tibor BosseMark HoogendoornMichel C. A. KleinJan Treur";"2010";"http://link.springer.com/chapter/10.2991/978-94-91216-31-2_3";"Chapter"
"A Graph-Based, Multi-resolution Algorithm for Tracking Objects in Presence of Occlusions";"Graph-Based Representations in Pattern Recognition";"";"";"";"10.1007/978-3-540-31988-7_18";"Donatello ContePasquale FoggiaJean-Michel JolionMario Vento";"2005";"http://link.springer.com/chapter/10.1007/978-3-540-31988-7_18";"Chapter"
"A Human-Computer Interface and an Analysis on the Drawing of Curves with a Face Tracker Mouse";"Universal Access in Human-Computer Interaction. Interaction Techniques and Environments";"";"";"";"10.1007/978-3-319-40244-4_1";"Ivana S. BandeiraFernando Henrique G. Zucatelli";"2016";"http://link.springer.com/chapter/10.1007/978-3-319-40244-4_1";"Chapter"
"A Literature Review of the Research on Interaction Mode of Self-driving Cars";"Design, User Experience, and Usability. Application Domains";"";"";"";"10.1007/978-3-030-23538-3_3";"Zhongshi HuXin XinWanting XuYuwei SunZhenyu JiangXiangyu WangYishan LiuSiyao LuMin Zhao";"2019";"http://link.springer.com/chapter/10.1007/978-3-030-23538-3_3";"Chapter"
"A Low-Cost Head and Eye Tracking System for Realistic Eye Movements in Virtual Avatars";"MultiMedia Modeling";"";"";"";"10.1007/978-3-319-04114-8_39";"Yingbo LiHaolin WeiDavid S. MonaghanNoel E. O’Connor";"2014";"http://link.springer.com/chapter/10.1007/978-3-319-04114-8_39";"Chapter"
"A Method for Extracting Eye Movement and Response Characteristics to Distinguish Depressed People";"Image and Graphics";"";"";"";"10.1007/978-3-319-71607-7_43";"Chao LeHuimin MaYidong Wang";"2017";"http://link.springer.com/chapter/10.1007/978-3-319-71607-7_43";"Chapter"
"A Method of the Extraction of Texture Feature";"Advances in Computation and Intelligence";"";"";"";"10.1007/978-3-540-92137-0_41";"Haifang LiLihuan MenJunjie Chen";"2008";"http://link.springer.com/chapter/10.1007/978-3-540-92137-0_41";"Chapter"
"A Model for the Interpretation of Data from an ECU by Means of OBD Devices";"HCI International 2019 – Late Breaking Posters";"";"";"";"10.1007/978-3-030-30712-7_50";"Jefferson A. SánchezJuan F. ValenciaMaria L. Villegas";"2019";"http://link.springer.com/chapter/10.1007/978-3-030-30712-7_50";"Chapter"
"A Model of Perceptual Task Effort for Bar Charts and its Role in Recognizing Intention";"User Modeling and User-Adapted Interaction";"";"16";"1";"10.1007/s11257-006-9002-9";"Stephanie ElzerNancy GreenSandra CarberryJames Hoffman";"2006";"http://link.springer.com/article/10.1007/s11257-006-9002-9";"Article"
"A Model to Simulate Web Users’ Eye Movements";"Human-Computer Interaction – INTERACT 2009";"";"";"";"10.1007/978-3-642-03655-2_34";"Myriam ChanceauxAnne Guérin-DuguéBenoît LemaireThierry Baccino";"2009";"http://link.springer.com/chapter/10.1007/978-3-642-03655-2_34";"Chapter"
