Item Title;Publication Title;Book Series Title;Journal Volume;Journal Issue;Item DOI;Authors;Publication Year;URL;Content Type
"Restricted Focus Viewer: A Tool for Tracking Visual Attention";"Theory and Application of Diagrams";"";"";"";"10.1007/3-540-44590-0_17";"Alan F. BlackwellAnthony R. JansenKim Marriott";"2000";"http://link.springer.com/chapter/10.1007/3-540-44590-0_17";"Chapter"
"Visual Attention and Representation Switching During Java Program Debugging: A Study Using the Restricted Focus Viewer";"Diagrammatic Representation and Inference";"";"";"";"10.1007/3-540-46037-3_23";"Pablo RomeroRichard CoxBenedict du BoulayRudi Lutz";"2002";"http://link.springer.com/chapter/10.1007/3-540-46037-3_23";"Chapter"
"Computer Science";"Eye Tracking Methodology";"";"";"";"10.1007/978-3-319-57883-5_24";"Andrew T. Duchowski";"2017";"http://link.springer.com/chapter/10.1007/978-3-319-57883-5_24";"Chapter"
"Computer Science";"Eye Tracking Methodology";"";"";"";"10.1007/978-1-84628-609-4_20";"Andrew Duchowski BSc,PhD";"2007";"http://link.springer.com/chapter/10.1007/978-1-84628-609-4_20";"Chapter"
"Frequent Words Improve Readability and Short Words Improve Understandability for People with Dyslexia";"Human-Computer Interaction – INTERACT 2013";"";"";"";"10.1007/978-3-642-40498-6_15";"Luz RelloRicardo Baeza-YatesLaura Dempere-MarcoHoracio Saggion";"2013";"http://link.springer.com/chapter/10.1007/978-3-642-40498-6_15";"Chapter"
"Shorter identifier names take longer to comprehend";"Empirical Software Engineering";"";"24";"1";"10.1007/s10664-018-9621-x";"Johannes C. HofmeisterJanet SiegmundDaniel V. Holt";"2019";"http://link.springer.com/article/10.1007/s10664-018-9621-x";"Article"
"Do-It-Yourself Eye Tracker: Low-Cost Pupil-Based Eye Tracker for Computer Graphics Applications";"Advances in Multimedia Modeling";"";"";"";"10.1007/978-3-642-27355-1_13";"Radosław MantiukMichał KowalikAdam NowosielskiBartosz Bazyluk";"2012";"http://link.springer.com/chapter/10.1007/978-3-642-27355-1_13";"Chapter"
"The impact of identifier style on effort and comprehension";"Empirical Software Engineering";"";"18";"2";"10.1007/s10664-012-9201-4";"Dave BinkleyMarcia DavisDawn LawrieJonathan I. MaleticChristopher MorrellBonita Sharif";"2013";"http://link.springer.com/article/10.1007/s10664-012-9201-4";"Article"
"A Single-Camera Remote Eye Tracker";"Perception and Interactive Technologies";"";"";"";"10.1007/11768029_25";"André MeyerMartin BöhmeThomas MartinetzErhardt Barth";"2006";"http://link.springer.com/chapter/10.1007/11768029_25";"Chapter"
"Object Recognition System Guided by Gaze of the User with a Wearable Eye Tracker";"Pattern Recognition";"";"";"";"10.1007/978-3-642-23123-0_46";"Takumi Toyama";"2011";"http://link.springer.com/chapter/10.1007/978-3-642-23123-0_46";"Chapter"
