Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Utilizing the Capabilities Offered by Eye-Tracking to Foster Novices’ Comprehension of Business Process Models","Cognitive Computing – ICCC 2018","","","","10.1007/978-3-319-94307-7_12","Michael ZimochRüdiger PryssGeorg LayherHeiko NeumannThomas ProbstWinfried SchleeManfred Reichert","2018","http://link.springer.com/chapter/10.1007/978-3-319-94307-7_12","Chapter"
"Understanding Process Models Using the Eye-Tracking: A Systematic Mapping","Quality of Information and Communications Technology","","","","10.1007/978-3-030-29238-6_7","Vinícius BritoRafael DuarteCharlie Silva LopesDenis Silva da Silveira","2019","http://link.springer.com/chapter/10.1007/978-3-030-29238-6_7","Chapter"
"Cognitive Insights into Business Process Model Comprehension: Preliminary Results for Experienced and Inexperienced Individuals","Enterprise, Business-Process and Information Systems Modeling","","","","10.1007/978-3-319-59466-8_9","Michael ZimochRüdiger PryssThomas ProbstWinfried SchleeManfred Reichert","2017","http://link.springer.com/chapter/10.1007/978-3-319-59466-8_9","Chapter"
"Eye Tracking Meets the Process of Process Modeling: A Visual Analytic Approach","Business Process Management Workshops","","","","10.1007/978-3-319-58457-7_34","Andrea BurattinMichael KaiserManuel NeurauterBarbara Weber","2017","http://link.springer.com/chapter/10.1007/978-3-319-58457-7_34","Chapter"
"Comprehension of Procedural Visual Business Process Models","Business & Information Systems Engineering","","59","1","10.1007/s12599-016-0460-2","Dr. MMag. Kathrin Figl","2017","http://link.springer.com/article/10.1007/s12599-016-0460-2","Article"
"Eye-Tracking the Factors of Process Model Comprehension Tasks","Advanced Information Systems Engineering","","","","10.1007/978-3-642-38709-8_15","Razvan PetruselJan Mendling","2013","http://link.springer.com/chapter/10.1007/978-3-642-38709-8_15","Chapter"
"Eye Tracking Experiments on Process Model Comprehension: Lessons Learned","Enterprise, Business-Process and Information Systems Modeling","","","","10.1007/978-3-319-59466-8_10","Michael ZimochRüdiger PryssJohannes SchobelManfred Reichert","2017","http://link.springer.com/chapter/10.1007/978-3-319-59466-8_10","Chapter"
"Business Process and Rule Integration Approaches - An Empirical Analysis","Business Process Management Forum","","","","10.1007/978-3-319-98651-7_3","Tianwa ChenWei WangMarta IndulskaShazia Sadiq","2018","http://link.springer.com/chapter/10.1007/978-3-319-98651-7_3","Chapter"
"Low–Cost Eye–Trackers: Useful for Information Systems Research?","Advanced Information Systems Engineering Workshops","","","","10.1007/978-3-319-07869-4_14","Stefan ZugalJakob Pinggera","2014","http://link.springer.com/chapter/10.1007/978-3-319-07869-4_14","Chapter"
"The Effect of Rule Linking on Business Process Model Understanding","Integrating Business Process Models and Rules","","","","10.1007/978-3-030-11809-9_5","Wei Wang","2019","http://link.springer.com/chapter/10.1007/978-3-030-11809-9_5","Chapter"
"Evaluating the Understandability of Hybrid Process Model Representations Using Eye Tracking: First Insights","Business Process Management Workshops","","","","10.1007/978-3-030-11641-5_37","Amine Abbad AndaloussiTijs SlaatsAndrea BurattinThomas T. HildebrandtBarbara Weber","2019","http://link.springer.com/chapter/10.1007/978-3-030-11641-5_37","Chapter"
