#  11/22/2018 6:47 AM
time Delta Theta Alpha1 Alpha2 Beta1 Beta2 Gamma1 Gamma2 Attention Meditation Blink Derived totPwr  class 
# DeriveFormula: a1 11/22/2018 -- 6:47 AM: obs 0
# LogStarts: EMULATE 11/22/2018 -- 6:47 AM: obs 0
# StartBaseline:  11/22/2018 -- 6:47 AM: obs 0
1 1.6 93517 149927 455858 413587 525400 551408 1130466 65738 14 20 45 0.37 3385901  X*
2 2.6 765201 25576 285502 459232 533301 79003 876714 16143 5 66 239 0.31 3040672  X*
3 3.8 33463 3320 783062 1890593 286482 137908 695949 252002 57 86 41 0.44 4082779  X*
4 4.9 488623 216141 68310 100581 39064 340742 192130 4412 20 65 189 0.22 1450003  X*
5 5.9 371148 17170 142 86562 328769 1061562 1225562 6268 54 83 145 0.01 3097183  X*
6 7.0 61752 53398 108338 287329 21940 33879 54007 54297 47 54 219 0.40 674940  X*
7 8.1 185522 1556939 5174 288 541 91075 190323 182831 86 4 189 0.05 2212693  X*
8 9.1 113037 756188 126621 215350 258331 774489 1537 113660 68 73 29 0.23 2359213  X*
9 10.2 73942 69783 970655 61469 247328 90868 17353 41777 27 18 32 0.79 1573175  X*
10 11.2 25810 285282 254506 983675 407105 7076 11645 46291 28 12 161 0.35 2021390  X*
11 11.8 37503 216066 355117 667940 39902 39481 480844 16136 8 51 176 0.44 1852989  X*
# LogEnds:  11/22/2018 -- 6:47 AM: obs 11
